TeamId,TeamName,SubmissionDate,Score
4152525,"Yufeng Guo","2019-12-20 15:33:49",0.81083
4169548,"Salomon Kabongo ","2019-12-23 22:54:36",0.57055
4169594,"Amr M. Kayid","2019-12-23 22:57:00",0.81083
4169658,Zhenlan,"2019-12-23 23:10:24",0.77505
4169742,"Search and Rescue","2019-12-23 23:21:51",0.57055
4169625,"Diego Brito","2019-12-23 23:22:09",0.79754
4169745,kris,"2019-12-23 23:23:04",0.57055
4169773,exotol,"2019-12-23 23:29:55",0.77505
4169697,"Chi T","2019-12-23 23:36:40",0.57055
4169756,finders.ai,"2019-12-23 23:39:00",0.77505
4169532,"Chaitanya Krishna Kasaraneni","2019-12-23 23:39:15",0.77505
4169490,"Paulo Pinto","2019-12-23 23:41:42",0.81083
4169818,"Dustin Kerns","2019-12-23 23:53:35",0.77505
4169816,andrezio,"2019-12-23 23:54:10",0.77505
4169503,"Diego Garcia Cerdas","2019-12-23 23:59:08",0.00000
4169503,"Diego Garcia Cerdas","2019-12-24 00:05:55",0.77402
4169684,"Lawrence Chernin","2019-12-24 00:20:22",0.77505
4169742,"Search and Rescue","2019-12-24 00:20:35",0.81083
4169503,"Diego Garcia Cerdas","2019-12-24 00:20:50",0.79038
4169839,"James Thatcher","2019-12-24 00:26:48",0.77505
4169920,Newbies,"2019-12-24 00:26:56",0.81083
4169925,"Naruhiko Nakanishi","2019-12-24 00:33:20",0.57055
4169792,"Rajat Bhatnagar","2019-12-24 00:33:23",0.77505
4169984,Aditya,"2019-12-24 00:41:55",0.77505
4169783,SeaBreeze,"2019-12-24 00:43:08",0.76278
4169970,sawfish,"2019-12-24 00:44:38",0.77505
4170017,Shantanu,"2019-12-24 00:52:49",0.57055
4170017,Shantanu,"2019-12-24 00:55:57",0.81083
4170000,"Palash Chatterjee","2019-12-24 01:01:51",0.79038
4170081,"Oleg Polosin","2019-12-24 01:10:15",0.57055
4169783,SeaBreeze,"2019-12-24 01:10:33",0.77198
4169731,"Nicolas J","2019-12-24 01:21:02",0.00000
4174735,"Disaster Prevention","2019-12-24 01:23:45",0.77505
4170143,ChewZY,"2019-12-24 01:32:04",0.77505
4169783,SeaBreeze,"2019-12-24 01:37:33",0.77300
4170156,"Jeffrey Mak","2019-12-24 01:38:21",0.77505
4169731,"Nicolas J","2019-12-24 01:44:25",0.21267
4170194,euphoria,"2019-12-24 01:55:50",0.76482
4169731,"Nicolas J","2019-12-24 02:02:48",0.21676
4170156,"Jeffrey Mak","2019-12-24 02:03:00",0.81083
4170204,andrekos,"2019-12-24 02:08:13",0.81083
4170307,"Soumojit Kumar","2019-12-24 02:08:29",0.57055
4170290,"Niranjan Nakkala","2019-12-24 02:13:26",0.57055
4170154,FelipeBorges,"2019-12-24 02:15:49",0.77198
4170377,"Atikur Rahman","2019-12-24 02:27:04",0.57055
4170194,euphoria,"2019-12-24 02:27:09",0.79447
4170175,TY.Yang,"2019-12-24 02:30:51",0.77505
4169550,"Greystone Gujus","2019-12-24 02:38:04",0.77300
4170426,T__T,"2019-12-24 02:49:45",0.81083
4170455,ShreyasiChaudhary,"2019-12-24 02:54:02",0.77505
4170514,"Pranav Pulijala","2019-12-24 03:09:58",0.80163
4170467,"Pratik Gandhi","2019-12-24 03:11:51",0.77505
4170331,"cafe decade","2019-12-24 03:13:54",0.57055
4170557,devai01,"2019-12-24 03:14:35",0.81083
4170164,cprp,"2019-12-24 03:16:32",0.79038
4170502,AaronKub,"2019-12-24 03:25:48",0.79652
4170465,"Thanh HoangVan","2019-12-24 03:28:34",0.81083
4170130,bto1,"2019-12-24 03:31:09",0.77505
4170156,"Jeffrey Mak","2019-12-24 03:32:14",0.82924
4170632,quantrader,"2019-12-24 03:37:06",0.57055
4170084,"Michal Malyska","2019-12-24 03:40:11",0.79038
4170507,"Priyanshu Kumar","2019-12-24 03:51:08",0.79652
4170717,Tron,"2019-12-24 03:51:15",0.80572
4170477,"Khoi Nguyen","2019-12-24 03:59:10",0.00000
4170477,"Khoi Nguyen","2019-12-24 04:01:05",0.81697
4169490,"Paulo Pinto","2019-12-24 04:09:49",0.81492
4170264,szelee,"2019-12-24 04:18:19",0.78732
4170116,Nithiroj,"2019-12-24 04:22:14",0.50715
4170705,Bibek,"2019-12-24 04:23:38",0.80981
